team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,raw_termination_reason,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination,pn_guidance_frames,pn_nonzero_command_frames,maximum_command_g
blue,blue_0,red_0,m0,62,738,4063.597314176774,0.16711616612839153,9.575051007563957,1.5732664665033251,90.14152858010063,4063.597314176774,3980.9439378461384,-815.4192145827628,302.0673161394934,268.56089911156454,296.77573100076324,5815.842279340257,5000.423064757494,True,p_hit_fail,miss,False,6.3166666666666496,62,93,31,True,378,378,24.18021307540442
blue,blue_0,red_0,m0,77,914,2619.590281858091,0.3510307373170017,20.112579727629647,1.5740504156082435,90.18644555516552,2619.590281858091,2435.993321410909,-963.4260650650895,300.37418788720856,257.9797247072684,259.0920795491664,5557.163800163469,4593.73773509838,True,hit,hit,True,4.116666666666657,77,97,20,False,246,246,30.000000000000007
blue,blue_2,red_1,m1,85,1010,2889.425852171502,0.10985683049479696,6.294332738035945,2.2142840107140778,126.86912845721741,2889.425852171502,2864.118254869671,-381.5866576799035,301.4928720407734,255.96048725251828,153.30965089004675,5631.181741426332,5249.595083746429,True,hit,hit,True,4.883333333333321,85,109,24,False,292,292,15.006822650518126
blue,blue_0,red_0,m1,94,1117,3383.085405729094,0.3827410822508588,21.92944865924371,2.8145828137024997,161.26371631520928,3383.085405729094,3213.392952182162,-1058.004062999381,300.212812288888,308.40293330304615,-14.826586478578193,5323.780276820896,4265.776213821515,True,hit,hit,True,6.683333333333315,94,127,33,False,400,400,29.409751525724502
blue,blue_1,red_2,m2,128,1532,2937.9735577676533,0.3056751461225989,17.513895774869646,2.553135393242883,146.28388255829094,2937.9735577676533,2928.6040507800826,-234.45029301840168,296.44225677839347,239.0903373316259,72.80614726203697,4763.193134141218,4528.742841122817,True,hit,hit,True,5.13333333333332,128,154,26,False,307,307,29.013972726196567
blue,blue_0,red_2,m2,110,1317,5557.977465747317,0.509284868369137,29.179873527427226,2.8059760759059724,160.77058656409255,5557.977465747317,5557.915554667934,26.233507870664653,297.24174827485797,234.15457943702356,23.80148451456152,4862.404165397464,4888.637673268128,True,hit,hit,True,9.600000000000056,110,158,48,False,575,575,20.343281567039945
blue,blue_2,red_1,m3,135,1611,3096.1587638837686,0.3298001934678484,18.896159168305733,2.487172784373035,142.50450346437646,3096.1587638837686,3094.4352741661137,103.2929095860627,280.1399368820433,221.81678581690335,94.90365128931796,5151.287065343694,5254.579974929757,True,hit,hit,True,5.099999999999987,135,160,25,False,305,305,18.929455981930182
blue,blue_0,red_0,m0,51,609,4753.5909789840825,0.09551023425109957,5.472333322893844,1.574938082535315,90.23730512370005,4753.5909789840825,4728.956405903973,-483.32029394453,301.619201346878,266.8219609892249,322.4150176728253,5953.070034917934,5469.749740973404,True,hit,hit,True,7.04999999999998,51,86,35,False,422,422,29.999999999999996
blue,blue_2,red_1,m1,60,716,3959.750430386745,0.09509605046440166,5.4486023399733075,1.5708822843428258,90.00492500471364,3959.750430386745,3934.990219377389,-442.1260502982159,302.16068415059016,255.39272705291046,345.7661007862021,5854.9336394756265,5412.807589177411,True,hit,hit,True,5.816666666666651,60,89,29,False,348,348,12.229268314442624
blue,blue_0,red_0,m0,71,848,2684.4998031562004,0.32196264938134134,18.447100970401163,1.5708605872493226,90.00368185282821,2684.4998031562004,2598.765588735891,-673.0205107928568,301.45642565287756,280.3262836288868,287.8182176569061,5773.929186244589,5100.908675451732,True,hit,hit,True,4.183333333333324,71,92,21,False,250,250,30.000000000000007
