Iteration,Step,ActorLoss,CriticLoss,MaskLoss,KL,MaskEnt,RedMeanReward,BlueMeanReward,RedWinRate,RedMissiles,BlueMissiles
1,2000,-0.075957,3.712621,-0.004041,0.000011,0.081035,-62.5289,82.9032,0.000000,0.0,0.6
2,4000,-0.077500,16.682214,-0.003944,0.000039,0.079657,-67.7460,75.9315,0.000000,0.2,0.5
3,6000,-0.078366,18.570278,-0.003996,0.000068,0.081277,-70.9362,72.0529,0.000000,0.0,0.0
4,8000,-0.076232,11.260821,-0.003959,0.000075,0.080675,-71.8471,71.3119,0.000000,0.0,0.0
5,10000,-0.085869,9.401085,-0.004080,0.000176,0.085121,-72.3877,71.6398,0.000000,0.1,0.2
6,12000,-0.077636,9.283859,-0.003563,0.000482,0.080893,-73.2803,71.9326,0.000000,0.0,0.0
7,14000,-0.078551,1.447026,-0.003659,0.000386,0.080898,-67.3322,63.8287,0.000000,0.2,0.0
8,16000,-0.075212,5.730100,-0.003604,0.000431,0.080693,-67.9391,64.1835,0.000000,0.0,0.2
9,18000,-0.079526,6.239581,-0.003479,0.000546,0.080501,-64.3134,54.5694,0.000000,0.0,0.1
10,20000,-0.079423,3.402815,-0.003469,0.000646,0.082305,-63.0079,52.1084,0.000000,0.0,0.1
11,22000,-0.080378,2.777102,-0.003403,0.000656,0.081180,-62.1538,51.9971,0.000000,0.0,0.2
12,24000,-0.078800,2.655982,-0.003278,0.000734,0.080235,-61.1342,49.4383,0.000000,0.0,0.1
13,26000,-0.077902,0.872682,-0.003244,0.000867,0.082219,-58.9063,47.9856,0.000000,0.0,0.2
14,28000,-0.079182,1.723425,-0.003028,0.000942,0.079401,-56.2246,46.1782,0.000000,0.0,0.2
15,30000,-0.077216,3.318124,-0.003625,0.000426,0.081005,-55.7617,44.5126,0.000000,0.1,0.1
16,32000,-0.077577,0.791873,-0.003691,0.000464,0.083106,-54.6673,43.8096,0.000000,5.1,0.0
17,34000,-0.076124,0.983512,-0.003737,0.000302,0.080790,-53.3959,41.4660,0.000000,2.9,0.1
18,36000,-0.075825,0.667030,-0.003659,0.000394,0.081075,-51.3386,39.4850,0.000000,0.0,0.2
19,38000,-0.077561,1.245104,-0.003439,0.000647,0.081718,-47.7850,35.2850,0.000000,0.0,0.1
20,40000,-0.076226,1.678351,-0.002982,0.001154,0.082722,-46.1662,34.1078,0.000000,5.6,0.0
21,42000,-0.076399,0.295147,-0.003084,0.000966,0.081000,-43.3771,32.1062,0.000000,5.0,0.1
