scenario,side,distance_m,range_m,AO_rad,TA_rad,boresight_rad,range_ok,ao_ok,ta_ok,boresight_ok,track_ok,geometry_ok
red_chases_blue,red_to_blue,5000.0,5000.0,0.0,3.141592653589793,,1,1,1,1,not_checked_function_level,1
red_chases_blue,blue_to_red,5000.0,5000.0,3.141592653589793,0.0,,1,0,0,1,not_checked_function_level,0
head_on,red_to_blue,5000.0,5000.0,0.0,0.0,,1,1,0,1,not_checked_function_level,0
head_on,blue_to_red,5000.0,5000.0,0.0,0.0,,1,1,0,1,not_checked_function_level,0
side_aspect,red_to_blue,5000.0,5000.0,0.0,1.5707963267948968,,1,1,1,1,not_checked_function_level,1
side_aspect,blue_to_red,5000.0,5000.0,1.5707963267948968,0.0,,1,0,0,1,not_checked_function_level,0
blue_chases_red,red_to_blue,5000.0,5000.0,3.141592653589793,0.0,,1,0,0,1,not_checked_function_level,0
blue_chases_red,blue_to_red,5000.0,5000.0,0.0,3.141592653589793,,1,1,1,1,not_checked_function_level,1
red_chases_blue,red_to_blue,10000.0,10000.0,0.0,3.141592653589793,,0,1,1,1,not_checked_function_level,0
red_chases_blue,blue_to_red,10000.0,10000.0,3.141592653589793,0.0,,0,0,0,1,not_checked_function_level,0
head_on,red_to_blue,10000.0,10000.0,0.0,0.0,,0,1,0,1,not_checked_function_level,0
head_on,blue_to_red,10000.0,10000.0,0.0,0.0,,0,1,0,1,not_checked_function_level,0
side_aspect,red_to_blue,10000.0,10000.0,0.0,1.5707963267948968,,0,1,1,1,not_checked_function_level,0
side_aspect,blue_to_red,10000.0,10000.0,1.5707963267948968,0.0,,0,0,0,1,not_checked_function_level,0
blue_chases_red,red_to_blue,10000.0,10000.0,3.141592653589793,0.0,,0,0,0,1,not_checked_function_level,0
blue_chases_red,blue_to_red,10000.0,10000.0,0.0,3.141592653589793,,0,1,1,1,not_checked_function_level,0
red_chases_blue,red_to_blue,15000.0,15000.0,0.0,3.141592653589793,,0,1,1,1,not_checked_function_level,0
red_chases_blue,blue_to_red,15000.0,15000.0,3.141592653589793,0.0,,0,0,0,1,not_checked_function_level,0
head_on,red_to_blue,15000.0,15000.0,0.0,0.0,,0,1,0,1,not_checked_function_level,0
head_on,blue_to_red,15000.0,15000.0,0.0,0.0,,0,1,0,1,not_checked_function_level,0
side_aspect,red_to_blue,15000.0,15000.0,0.0,1.5707963267948968,,0,1,1,1,not_checked_function_level,0
side_aspect,blue_to_red,15000.0,15000.0,1.5707963267948968,0.0,,0,0,0,1,not_checked_function_level,0
blue_chases_red,red_to_blue,15000.0,15000.0,3.141592653589793,0.0,,0,0,0,1,not_checked_function_level,0
blue_chases_red,blue_to_red,15000.0,15000.0,0.0,3.141592653589793,,0,1,1,1,not_checked_function_level,0
red_chases_blue,red_to_blue,20000.0,20000.0,0.0,3.141592653589793,,0,1,1,1,not_checked_function_level,0
red_chases_blue,blue_to_red,20000.0,20000.0,3.141592653589793,0.0,,0,0,0,1,not_checked_function_level,0
head_on,red_to_blue,20000.0,20000.0,0.0,0.0,,0,1,0,1,not_checked_function_level,0
head_on,blue_to_red,20000.0,20000.0,0.0,0.0,,0,1,0,1,not_checked_function_level,0
side_aspect,red_to_blue,20000.0,20000.0,0.0,1.5707963267948968,,0,1,1,1,not_checked_function_level,0
side_aspect,blue_to_red,20000.0,20000.0,1.5707963267948968,0.0,,0,0,0,1,not_checked_function_level,0
blue_chases_red,red_to_blue,20000.0,20000.0,3.141592653589793,0.0,,0,0,0,1,not_checked_function_level,0
blue_chases_red,blue_to_red,20000.0,20000.0,0.0,3.141592653589793,,0,1,1,1,not_checked_function_level,0
