config,agent,side,lat,lon,altitude_m,speed_mps,yaw_deg,nearest_enemy,nearest_enemy_distance_m,red_agent_types,blue_agent_types,observation_mode,reward_mode
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,blue_0,blue,60.2,120.0,6000,250,180.0,red_1,22264.000000000317,"['mav', 'attack_uav', 'attack_uav']","['attack_uav', 'attack_uav']",mav_shared_geo,tam_paper_reward_v7_role_aligned
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,blue_1,blue,60.2,120.04,6000,250,180.0,red_2,22264.000000000317,"['mav', 'attack_uav', 'attack_uav']","['attack_uav', 'attack_uav']",mav_shared_geo,tam_paper_reward_v7_role_aligned
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,red_0,red,59.98,120.02,6500,230,0.0,blue_0,24520.815752320173,"['mav', 'attack_uav', 'attack_uav']","['attack_uav', 'attack_uav']",mav_shared_geo,tam_paper_reward_v7_role_aligned
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,red_1,red,60.0,120.0,6000,250,0.0,blue_0,22264.000000000317,"['mav', 'attack_uav', 'attack_uav']","['attack_uav', 'attack_uav']",mav_shared_geo,tam_paper_reward_v7_role_aligned
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,red_2,red,60.0,120.04,6000,250,0.0,blue_1,22264.000000000317,"['mav', 'attack_uav', 'attack_uav']","['attack_uav', 'attack_uav']",mav_shared_geo,tam_paper_reward_v7_role_aligned
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_brma_paper_homogeneous_v1.yaml,blue_0,blue,60.2,120.0,6000,250,180.0,red_1,22264.000000000317,"['mav', 'attack_uav', 'attack_uav']","['attack_uav', 'attack_uav']",mav_shared_geo,brma_paper_homogeneous_v1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_brma_paper_homogeneous_v1.yaml,blue_1,blue,60.2,120.04,6000,250,180.0,red_2,22264.000000000317,"['mav', 'attack_uav', 'attack_uav']","['attack_uav', 'attack_uav']",mav_shared_geo,brma_paper_homogeneous_v1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_brma_paper_homogeneous_v1.yaml,red_0,red,59.98,120.02,6500,230,0.0,blue_0,24520.815752320173,"['mav', 'attack_uav', 'attack_uav']","['attack_uav', 'attack_uav']",mav_shared_geo,brma_paper_homogeneous_v1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_brma_paper_homogeneous_v1.yaml,red_1,red,60.0,120.0,6000,250,0.0,blue_0,22264.000000000317,"['mav', 'attack_uav', 'attack_uav']","['attack_uav', 'attack_uav']",mav_shared_geo,brma_paper_homogeneous_v1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_brma_paper_homogeneous_v1.yaml,red_2,red,60.0,120.04,6000,250,0.0,blue_1,22264.000000000317,"['mav', 'attack_uav', 'attack_uav']","['attack_uav', 'attack_uav']",mav_shared_geo,brma_paper_homogeneous_v1
