config,policy,episode_id,episode_length,outcome,red_alive_final,blue_alive_final,mav_alive_final,red_fire_count,blue_fire_count,red_hit_count,blue_hit_count,first_launch_side,first_hit_side,red_min_altitude_m,blue_min_altitude_m,red_speed_min_mps,red_speed_max_mps,blue_speed_min_mps,blue_speed_max_mps,death_reasons
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,zero_action_red_vs_blue_rule,0,1000,draw_or_timeout,3,2,1,0,0,0,0,,,3142.4665236287537,5391.55225531143,231.1394404528065,265.72407496130234,247.26198357401424,356.3036464946603,
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,zero_action_red_vs_blue_rule,1,1000,draw_or_timeout,3,2,1,0,0,0,0,,,3142.4665236287537,5391.55225531143,231.1394404528065,265.72407496130234,247.26198357401424,356.3036464946603,
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,zero_action_red_vs_blue_rule,2,1000,draw_or_timeout,3,2,1,0,0,0,0,,,3142.4665236287537,5391.55225531143,231.1394404528065,265.72407496130234,247.26198357401424,356.3036464946603,
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,level_flight_red_vs_blue_rule,0,1000,draw_or_timeout,3,2,1,0,0,0,0,,,3461.1699189729184,5396.345393924341,222.39863826396922,294.2341426965277,251.05987864901655,353.41659583564496,
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,level_flight_red_vs_blue_rule,1,1000,draw_or_timeout,3,2,1,0,0,0,0,,,3461.1699189729184,5396.345393924341,222.39863826396922,294.2341426965277,251.05987864901655,353.41659583564496,
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,level_flight_red_vs_blue_rule,2,1000,draw_or_timeout,3,2,1,0,0,0,0,,,3461.1699189729184,5396.345393924341,222.39863826396922,294.2341426965277,251.05987864901655,353.41659583564496,
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,straight_chase_red_vs_blue_rule,0,471,red_win,2,0,1,2,0,2,0,red,red,2499.741188436672,5383.535082144597,231.19696704024636,353.87342011235086,243.51904993618842,331.89812567560637,blue:missile_hit:2;red:Crash_LowAlt:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,straight_chase_red_vs_blue_rule,1,471,red_win,2,0,1,2,0,2,0,red,red,2499.741188436672,5383.535082144597,231.19696704024636,353.87342011235086,243.51904993618842,331.89812567560637,blue:missile_hit:2;red:Crash_LowAlt:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,straight_chase_red_vs_blue_rule,2,471,red_win,2,0,1,2,0,2,0,red,red,2499.741188436672,5383.535082144597,231.19696704024636,353.87342011235086,243.51904993618842,331.89812567560637,blue:missile_hit:2;red:Crash_LowAlt:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,oracle_geometry_red_vs_blue_rule,0,471,red_win,2,0,1,2,0,2,0,red,red,2499.741188436672,5383.535082144597,231.19696704024636,353.87342011235086,243.51904993618842,331.89812567560637,blue:missile_hit:2;red:Crash_LowAlt:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,oracle_geometry_red_vs_blue_rule,1,471,red_win,2,0,1,2,0,2,0,red,red,2499.741188436672,5383.535082144597,231.19696704024636,353.87342011235086,243.51904993618842,331.89812567560637,blue:missile_hit:2;red:Crash_LowAlt:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,oracle_geometry_red_vs_blue_rule,2,471,red_win,2,0,1,2,0,2,0,red,red,2499.741188436672,5383.535082144597,231.19696704024636,353.87342011235086,243.51904993618842,331.89812567560637,blue:missile_hit:2;red:Crash_LowAlt:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,red_rule_vs_blue_zero,0,386,red_win,3,0,1,2,0,2,0,red,red,4170.3980318908725,3362.635324504951,231.19696704024636,361.75331050837553,235.4986424359319,309.77009558326665,blue:missile_hit:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,red_rule_vs_blue_zero,1,386,red_win,3,0,1,2,0,2,0,red,red,4170.3980318908725,3362.635324504951,231.19696704024636,361.75331050837553,235.4986424359319,309.77009558326665,blue:missile_hit:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,red_rule_vs_blue_zero,2,386,red_win,3,0,1,2,0,2,0,red,red,4170.3980318908725,3362.635324504951,231.19696704024636,361.75331050837553,235.4986424359319,309.77009558326665,blue:missile_hit:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,blue_rule_only_strength_probe,0,1000,draw_or_timeout,3,2,1,0,0,0,0,,,3461.1699189729184,5396.345393924341,222.39863826396922,294.2341426965277,251.05987864901655,353.41659583564496,
