policy,episodes,red_min_altitude_m,blue_min_altitude_m,red_speed_min_mps,blue_speed_min_mps
zero_action_red_vs_blue_rule,18,2737.045319219805,5081.4870635879815,222.37569541819772,237.83214007869617
level_flight_red_vs_blue_rule,18,4308.593067935082,5059.3089674538405,202.29032060848647,239.88627703804298
straight_chase_red_vs_blue_rule,18,4368.7695874781675,5563.368702972995,208.6014003553644,238.0125127561691
oracle_geometry_red_vs_blue_rule,18,4368.7695874781675,5563.368702972995,208.6014003553644,238.0125127561691
oracle_launch_window_red_vs_blue_rule,18,4985.199503061741,5629.295071857544,203.0846244047946,239.29901189722938
oracle_launch_window_red_vs_blue_zero,18,5158.831473870874,3423.582945876974,203.35789110827918,221.6328531051521
obs_limited_chase_red_vs_blue_rule,18,3621.2761695945264,5339.545772029185,200.7338238537416,239.88627703804298
obs_limited_chase_red_vs_blue_zero,18,4400.335187052612,3423.582945876974,196.25214963384224,221.6328531051521
obs_limited_chase_red_vs_blue_rule_with_mav_shared,18,3622.6696517549576,5339.2411634050795,188.302845419922,239.88627703804298
red_rule_vs_blue_zero,18,4537.228344246002,3423.582945876974,207.15480038158546,221.6328531051521
blue_rule_only_strength_probe,18,4308.593067935082,5059.3089674538405,202.29032060848647,239.88627703804298
red_rule_vs_blue_rule_symmetric_all_attack,6,2473.20497100361,3489.2626458167647,227.2406317801783,119.24065842504844
