side,metric,sum,observed_steps,missing_steps
red,range_ok_pairs,849684.0,172356,0
red,ao_ok_pairs,1330210.0,172356,0
red,ta_ok_pairs,1201216.0,172356,0
red,boresight_ok_pairs,1337576.0,79064,93292
red,geometry_ok_pairs,2380.0,172356,0
red,direct_track_candidates,852420.0,172356,0
red,mav_shared_track_candidates,2184484.0,172356,0
red,track_unobserved_blocked,4832608.0,172356,0
red,role_blocked_mav,1228296.0,172356,0
red,ammo_empty_blocked,80580.0,172356,0
red,cooldown_blocked,60.0,172356,0
red,kill_cooldown_blocked,0.0,172356,0
red,lock_delay_blocked,,0,172356
red,lock_started,160.0,172356,0
red,lock_continued,2212.0,172356,0
red,lock_lost,12.0,172356,0
red,lock_mature_pairs,208.0,172356,0
red,engaged_blocked,238976.0,172356,0
red,launches,148.0,172356,0
red,alive_enemy_pairs,8108488.0,172356,0
red,unengaged_enemy_pairs,7869512.0,172356,0
blue,range_ok_pairs,1690710.0,172356,0
blue,ao_ok_pairs,1360144.0,172356,0
blue,ta_ok_pairs,1606306.0,172356,0
blue,boresight_ok_pairs,1359908.0,133830,38526
blue,geometry_ok_pairs,1376.0,172356,0
blue,direct_track_candidates,4525836.0,172356,0
blue,mav_shared_track_candidates,0.0,172356,0
blue,track_unobserved_blocked,249990.0,172356,0
blue,role_blocked_mav,0.0,172356,0
blue,ammo_empty_blocked,24130.0,172356,0
blue,cooldown_blocked,0.0,172356,0
blue,kill_cooldown_blocked,0.0,172356,0
blue,lock_delay_blocked,,0,172356
blue,lock_started,96.0,172356,0
blue,lock_continued,1280.0,172356,0
blue,lock_lost,22.0,172356,0
blue,lock_mature_pairs,74.0,172356,0
blue,engaged_blocked,5597212.0,172356,0
blue,launches,74.0,172356,0
blue,alive_enemy_pairs,10373038.0,172356,0
blue,unengaged_enemy_pairs,4775826.0,172356,0
