iteration,total_steps,average_team_return,average_episode_length,average_red_alive,average_blue_alive,actor_loss,critic_loss,entropy,action_mean_abs,action_std,action_min,action_max,value_mean,value_std,nan_detected,opponent_policy,episodes_completed
1,128,0.0000,0.0,3.00,2.00,0.018141,0.636063,0.215656,0.243106,0.303236,-1.000000,0.982408,0.050082,0.009956,0,greedy_fsm,0
2,256,0.0000,0.0,3.00,2.00,-0.001097,0.203794,0.217143,0.244368,0.300933,-0.950388,1.000000,1.140468,0.021074,0,greedy_fsm,0
3,384,0.0000,0.0,2.00,1.00,-0.010006,1.692790,0.217215,0.248413,0.303887,-1.000000,0.991862,1.767185,0.417301,0,greedy_fsm,0
4,512,0.0000,0.0,1.00,1.00,-0.002881,0.361814,0.216539,0.243859,0.299717,-1.000000,0.898123,0.880511,0.223659,0,greedy_fsm,0
5,640,0.0000,0.0,1.00,1.00,-0.003229,0.034834,0.216286,0.246022,0.303418,-1.000000,1.000000,0.378940,0.017436,0,greedy_fsm,0
6,768,0.0000,0.0,1.00,1.00,-0.005820,0.001891,0.215900,0.240523,0.297695,-0.988442,1.000000,0.092284,0.010089,0,greedy_fsm,0
7,896,0.0000,0.0,1.00,1.00,-0.000251,0.013469,0.215456,0.251321,0.308531,-0.890745,1.000000,-0.106937,0.004881,0,greedy_fsm,0
8,1024,22.6274,1000.0,1.00,1.00,-0.007189,0.026899,0.214642,0.250095,0.310531,-1.000000,0.959020,-0.047978,0.299075,0,greedy_fsm,1
9,1152,22.6274,1000.0,1.00,1.00,-0.003522,0.086653,0.214261,0.265331,0.313898,-0.916640,1.000000,0.549168,0.016820,0,greedy_fsm,1
10,1280,22.6274,1000.0,1.00,1.00,-0.006054,0.741780,0.214117,0.254444,0.301814,-0.829321,1.000000,0.655816,0.142994,0,greedy_fsm,1
11,1408,22.6274,1000.0,1.00,1.00,-0.002738,0.055861,0.214142,0.249116,0.306710,-1.000000,1.000000,-0.004482,0.098616,0,greedy_fsm,1
12,1536,22.6274,1000.0,1.00,1.00,-0.005954,0.006309,0.214042,0.257510,0.306924,-1.000000,1.000000,-0.081427,0.006054,0,greedy_fsm,1
13,1664,22.6274,1000.0,1.00,1.00,-0.004313,0.007977,0.213906,0.267325,0.319302,-0.967776,1.000000,-0.124299,0.018750,0,greedy_fsm,1
14,1792,5.1346,859.0,0.50,1.50,-0.006810,2.091068,0.214460,0.266107,0.308230,-0.824739,1.000000,0.069813,0.152096,0,greedy_fsm,2
15,1920,5.1346,859.0,0.50,1.50,-0.003981,0.992430,0.215177,0.274266,0.329621,-1.000000,1.000000,0.457077,0.028462,0,greedy_fsm,2
16,2048,5.1346,859.0,0.50,1.50,-0.003253,0.908350,0.216097,0.278077,0.315883,-0.958924,1.000000,1.108469,0.056883,0,greedy_fsm,2
17,2176,5.1346,859.0,0.50,1.50,-0.004155,0.113753,0.216855,0.266814,0.312435,-0.861530,1.000000,1.948522,0.157725,0,greedy_fsm,2
18,2304,5.1346,859.0,0.50,1.50,-0.005489,2.176675,0.217442,0.272361,0.320633,-0.897882,1.000000,1.912495,0.815177,0,greedy_fsm,2
