iteration,total_steps,average_team_return,average_episode_length,average_red_alive,average_blue_alive,actor_loss,critic_loss,entropy,action_mean_abs,action_std,action_min,action_max,value_mean,value_std,nan_detected,opponent_policy,episodes_completed
1,128,0.0000,0.0,3.00,2.00,0.021115,0.203825,0.215658,0.245245,0.305380,-1.000000,0.963579,0.060922,0.011479,0,greedy_fsm,0
2,256,0.0000,0.0,3.00,2.00,0.008669,0.097387,0.216963,0.242324,0.299919,-0.988901,1.000000,1.052625,0.035105,0,greedy_fsm,0
3,384,0.0000,0.0,1.00,1.00,-0.006549,1.320146,0.217798,0.249171,0.301514,-1.000000,0.933559,1.640287,0.393680,0,greedy_fsm,0
4,512,0.0000,0.0,1.00,1.00,-0.004828,0.069918,0.218383,0.241846,0.296348,-1.000000,0.860009,0.455944,0.035108,0,greedy_fsm,0
5,640,-7.9964,525.0,0.00,1.00,-0.003247,0.870742,0.218841,0.255516,0.314717,-1.000000,1.000000,0.877091,0.230904,0,greedy_fsm,1
6,768,-7.9964,525.0,0.00,1.00,-0.002289,0.463762,0.219240,0.251046,0.307678,-0.906440,1.000000,0.608953,0.231564,0,greedy_fsm,1
7,896,-7.9964,525.0,0.00,1.00,-0.008218,0.048798,0.219282,0.262269,0.318119,-1.000000,1.000000,0.091166,0.062380,0,greedy_fsm,1
8,1024,-15.1004,452.5,0.00,1.50,-0.005639,2.133530,0.219193,0.263097,0.318106,-1.000000,1.000000,0.404816,0.140464,0,greedy_fsm,2
9,1152,-15.1004,452.5,0.00,1.50,-0.004051,0.298794,0.219208,0.280384,0.316594,-0.995953,1.000000,0.115543,0.091721,0,greedy_fsm,2
10,1280,-15.1004,452.5,0.00,1.50,-0.006537,0.073742,0.219348,0.280846,0.313074,-1.000000,1.000000,-0.235835,0.083176,0,greedy_fsm,2
11,1408,-15.0845,428.7,0.00,1.33,-0.007487,1.027912,0.219612,0.270098,0.322785,-1.000000,0.852497,0.155635,0.112544,0,greedy_fsm,3
12,1536,-15.0845,428.7,0.00,1.33,-0.009118,0.109981,0.219503,0.288478,0.330288,-1.000000,1.000000,-0.468972,0.026131,0,greedy_fsm,3
13,1664,-15.0845,428.7,0.00,1.33,-0.005739,0.078801,0.219355,0.312325,0.336040,-1.000000,0.984530,-0.362946,0.035992,0,greedy_fsm,3
14,1792,-18.0378,417.2,0.00,1.50,-0.008044,2.449485,0.219144,0.263487,0.316895,-0.994838,1.000000,0.156529,0.080914,0,greedy_fsm,4
15,1920,-18.0378,417.2,0.00,1.50,-0.001855,0.033769,0.218920,0.270330,0.325270,-1.000000,0.976727,0.322461,0.078362,0,greedy_fsm,4
16,2048,-18.0378,417.2,0.00,1.50,-0.004208,0.071885,0.219239,0.272588,0.318375,-1.000000,1.000000,0.614959,0.155887,0,greedy_fsm,4
17,2176,-18.1277,425.4,0.00,1.60,-0.003124,2.212781,0.219704,0.282317,0.317434,-1.000000,0.948499,0.466041,0.360968,0,greedy_fsm,5
18,2304,-18.1277,425.4,0.00,1.60,-0.001925,0.363804,0.220148,0.264875,0.311311,-1.000000,1.000000,0.809824,0.089945,0,greedy_fsm,5
19,2432,-18.1277,425.4,0.00,1.60,-0.003689,0.105103,0.220274,0.259912,0.313880,-1.000000,1.000000,0.823702,0.061316,0,greedy_fsm,5
20,2560,-17.2292,420.0,0.00,1.50,-0.001289,1.401214,0.220543,0.267366,0.318649,-1.000000,0.816682,1.021709,0.356908,0,greedy_fsm,6
21,2688,-17.2292,420.0,0.00,1.50,-0.013710,0.515151,0.221090,0.275490,0.314490,-1.000000,1.000000,1.156997,0.073398,0,greedy_fsm,6
