iteration,total_steps,average_team_return,average_episode_length,average_red_alive,average_blue_alive,actor_loss,critic_loss,entropy,action_mean_abs,action_std,action_min,action_max,value_mean,value_std,nan_detected,opponent_policy,episodes_completed
1,128,0.0000,0.0,3.00,2.00,0.015188,0.174533,0.215119,0.245042,0.305237,-1.000000,0.967762,0.064556,0.013950,0,rule_nearest,0
2,256,0.0000,0.0,2.00,1.00,-0.002708,0.583322,0.215629,0.240035,0.300045,-1.000000,1.000000,0.066650,0.068750,0,rule_nearest,0
3,384,21.0165,261.0,2.00,0.00,-0.007619,1.810036,0.216242,0.246849,0.305857,-1.000000,1.000000,0.125444,0.092310,0,rule_nearest,1
4,512,21.0165,261.0,2.00,0.00,-0.006422,0.130512,0.216665,0.241956,0.296716,-1.000000,0.835686,-0.383407,0.072651,0,rule_nearest,1
5,640,21.0165,261.0,2.00,0.00,-0.008695,0.051180,0.217559,0.250702,0.310554,-1.000000,1.000000,-0.219528,0.030281,0,rule_nearest,1
6,768,-4.0722,320.5,1.00,1.00,-0.004164,2.337522,0.218424,0.256870,0.300942,-0.952265,1.000000,-0.224941,0.109561,0,rule_nearest,2
7,896,-4.0722,320.5,1.00,1.00,-0.003456,0.420349,0.219212,0.271908,0.326565,-1.000000,1.000000,0.314161,0.127583,0,rule_nearest,2
8,1024,-0.2358,299.3,1.00,0.67,-0.003272,0.497247,0.220040,0.262712,0.314710,-1.000000,1.000000,-0.158156,0.118341,0,rule_nearest,3
9,1152,-0.2358,299.3,1.00,0.67,-0.003321,0.446820,0.220163,0.281143,0.334601,-0.956045,1.000000,-0.178277,0.061384,0,rule_nearest,3
10,1280,-8.8270,302.8,0.75,1.00,-0.009103,1.618127,0.219783,0.282822,0.333029,-0.775800,1.000000,-0.997537,0.455546,0,rule_nearest,4
11,1408,-8.8270,302.8,0.75,1.00,-0.004686,0.197939,0.219299,0.296201,0.335657,-1.000000,1.000000,-1.778964,0.140680,0,rule_nearest,4
12,1536,-8.8270,302.8,0.75,1.00,-0.006231,0.073237,0.218564,0.283306,0.340089,-1.000000,1.000000,-0.976303,0.246357,0,rule_nearest,4
13,1664,-8.8270,302.8,0.75,1.00,-0.005657,0.007401,0.217672,0.289470,0.329169,-1.000000,1.000000,-0.188360,0.053454,0,rule_nearest,4
14,1792,-8.8270,302.8,0.75,1.00,-0.004590,0.011334,0.217063,0.291465,0.314919,-1.000000,1.000000,0.086812,0.047064,0,rule_nearest,4
