Iteration,Step,ActorLoss,CriticLoss,Entropy,RedMeanReward,RedWinRate,RedRewardStd,WinRateRecent,RedMissiles,BlueMissiles
1,2000,-0.019615,2.785802,0.216629,-71.8960,0.000000,0.0000,0.000000,0.0,2.0
2,4000,-0.027899,5.264525,0.218644,-76.6329,0.000000,4.7369,0.000000,0.0,2.0
3,6000,-0.029780,14.352189,0.220261,-82.5111,0.000000,6.1894,0.000000,0.0,2.0
4,8000,-0.027042,13.138396,0.222558,-81.0735,0.000000,7.6865,0.000000,0.0,2.0
5,10000,-0.025129,14.612671,0.226006,-83.3996,0.000000,14.3325,0.000000,0.0,2.0
6,12000,-0.023002,0.172876,0.230744,-83.3996,0.000000,14.3325,0.000000,0.0,2.0
7,14000,-0.026294,13.598739,0.234474,-83.2719,0.000000,13.8547,0.000000,0.0,2.0
8,16000,-0.028342,5.619086,0.238503,-107.0566,0.000000,69.8586,0.000000,0.0,2.0
9,18000,-0.027556,6.905933,0.238056,-120.4386,0.000000,87.4839,0.000000,0.0,2.0
10,20000,-0.030325,4.509286,0.235000,-132.3155,0.000000,86.0868,0.000000,0.0,2.0
11,22000,-0.027245,7.692369,0.235148,-128.6361,0.000000,82.5530,0.000000,0.0,2.0
12,24000,-0.026197,7.899997,0.235747,-127.2772,0.000000,79.9760,0.000000,0.0,2.0
13,26000,-0.033872,4.431222,0.235190,-125.8205,0.000000,78.9621,0.000000,0.0,2.0
14,28000,-0.034940,8.515709,0.238985,-126.7751,0.000000,78.6051,0.000000,0.0,2.0
15,30000,-0.031648,14.888747,0.241757,-123.5500,0.000000,77.2572,0.000000,0.0,2.0
16,32000,-0.032351,9.571867,0.239677,-127.3123,0.000000,76.0537,0.000000,0.0,2.0
17,34000,-0.041509,5.832892,0.241065,-126.1563,0.000000,75.4098,0.000000,0.0,2.0
18,36000,-0.030701,8.877551,0.241217,-124.2766,0.000000,73.6852,0.000000,0.0,2.0
19,38000,-0.033575,12.804668,0.240642,-121.6575,0.000000,71.7626,0.000000,0.0,1.9
20,40000,-0.028381,7.575783,0.241745,-119.4237,0.000000,70.1462,0.000000,0.0,1.9
21,42000,-0.029159,18.238532,0.242902,-118.1377,0.000000,70.9005,0.000000,0.0,1.8
22,44000,-0.031999,1.963049,0.245378,-118.6575,0.000000,70.8071,0.000000,0.0,1.8
